strain (F12), twin GBs- stress, random GBs- stress, strains (F12)- Twin GBs- stress
0.00218,0.20757045046502,0.240562572462177,-0.00218,-0.20757045046502
0.0022,0.209474766524333,0.242769568539811,-0.0022,-0.209474766524334
0.00222,0.211379082583644,0.244976564617447,-0.00222,-0.211379082583644
0.00224,0.213283398642957,0.247183560695081,-0.00224,-0.213283398642958
0.00226,0.215187714702268,0.249390556772716,-0.00226,-0.215187714702269
0.00228,0.217092030761582,0.25159755285035,-0.00228,-0.217092030761582
0.0023,0.218996346820894,0.253804548927986,-0.0023,-0.218996346820893
0.00232,0.220900662880206,0.25601154500562,-0.00232,-0.220900662880206
0.00234,0.222804978939518,0.258218541083254,-0.00234,-0.222804978939517
0.00236,0.22470929499883,0.260425537160888,-0.00236,-0.22470929499883
0.00238,0.226613611058142,0.262632533238525,-0.00238,-0.226613611058144
0.0024,0.228517927117454,0.264839529316158,-0.0024,-0.228517927117453
0.00242,0.230422243176767,0.267046525393793,-0.00242,-0.230422243176767
0.00244,0.232326559236079,0.269253521471427,-0.00244,-0.232326559236077
0.00246,0.234230875295392,0.271460517549063,-0.00246,-0.234230875295391
0.00248,0.236135191354704,0.273667513626697,-0.00248,-0.236135191354701
0.0025,0.238039507414016,0.275874509704331,-0.0025,-0.238039507414015
0.00252,0.239943823473328,0.278081505781966,-0.00252,-0.239943823473326
0.00254,0.241848139532638,0.280288501859602,-0.00254,-0.241848139532639
0.00256,0.24375245559195,0.282495497937236,-0.00256,-0.243752455591953
0.00258,0.245656771651262,0.28470249401487,-0.00258,-0.245656771651263
0.0026,0.247561087710574,0.286909490092505,-0.0026,-0.247561087710577
0.00262,0.249465403769886,0.28911648617014,-0.00262,-0.249465403769887
0.00264,0.251369719829198,0.291323482247775,-0.00264,-0.251369719829201
0.00266,0.253274035888511,0.293530478325409,-0.00266,-0.253274035888511
0.00268,0.255178351947824,0.295737474403043,-0.00268,-0.255178351947823
0.0027,0.257082668007136,0.297944470480679,-0.0027,-0.257082668007134
0.00272,0.258986984066448,0.300151466558313,-0.00272,-0.258986984066448
0.00274,0.26089130012576,0.302358462635948,-0.00274,-0.260891300125758
0.00276,0.262795616185072,0.304565458713582,-0.00276,-0.262795616185072
0.00278,0.264699932244384,0.306772454791218,-0.00278,-0.264699932244385
0.0028,0.266604248303696,0.308979450868852,-0.0028,-0.266604248303696
0.00282,0.268508564363008,0.311186446946487,-0.00282,-0.268508564363009
0.00284,0.27041288042232,0.31339344302412,-0.00284,-0.27041288042232
0.00286,0.272317196481634,0.315600439101754,-0.00286,-0.272317196481634
0.00288,0.274221512540946,0.317807435179388,-0.00288,-0.274221512540944
0.0029,0.276125828600258,0.320014431257022,-0.0029,-0.276125828600258
0.00292,0.27803014465957,0.322221427334657,-0.00292,-0.278030144659568
0.00294,0.279934460718882,0.324428423412292,-0.00294,-0.279934460718882
0.00296,0.281838776778194,0.326635419489927,-0.00296,-0.281838776778194
0.00298,0.283743092837506,0.328842415567561,-0.00298,-0.283743092837505
0.003,0.285647408896818,0.331049411645195,-0.003,-0.285647408896818
0.00302,0.28755172495613,0.333256407722831,-0.00302,-0.287551724956129
0.00304,0.289456041015442,0.335463403800466,-0.00304,-0.289456041015442
0.00306,0.291360357074756,0.3376703998781,-0.00306,-0.291360357074753
0.00308,0.293264673134068,0.339877395955734,-0.00308,-0.293264673134066
0.0031,0.295168989193377,0.34208439203337,-0.0031,-0.295168989193377
0.00312,0.297073305252689,0.344291388111004,-0.00312,-0.297073305252691
0.00314,0.298977621312001,0.346498384188639,-0.00314,-0.298977621312001
0.00316,0.300881937371313,0.348705380266273,-0.00316,-0.300881937371315
0.00318,0.302786253430625,0.350912376343909,-0.00318,-0.302786253430628
0.0032,0.304690569489937,0.353119372421543,-0.0032,-0.304690569489939
0.00322,0.306594885549249,0.355326368499177,-0.00322,-0.306594885549252
0.00324,0.308499201608562,0.357533364576812,-0.00324,-0.308499201608562
0.00326,0.310403517667875,0.359740360654447,-0.00326,-0.310403517667875
0.00328,0.312307833727187,0.361947356732082,-0.00328,-0.312307833727186
0.0033,0.314212149786499,0.364154352809716,-0.0033,-0.314212149786499
0.00332,0.316116465845811,0.36636134888735,-0.00332,-0.31611646584581
0.00334,0.318020781905123,0.368568344964986,-0.00334,-0.318020781905123
0.00336,0.319921158856762,0.370775341042621,-0.00336,-0.319925097964437
0.00338,0.321607963189293,0.372982337120255,-0.00338,-0.321657711520469
0.0034,0.32310519209313,0.375189333197889,-0.0034,-0.323196603479048
0.00342,0.324434147625474,0.377396329275525,-0.00342,-0.324563437696189
0.00344,0.325613739128757,0.379603325353159,-0.00344,-0.32577745437547
0.00346,0.326660751774781,0.381810321430794,-0.00346,-0.326855741437886
0.00348,0.327590085015833,0.384017317508428,-0.00348,-0.327813475458568
0.0035,0.328414964305049,0.386224313586063,-0.0035,-0.328664135593657
0.00352,0.329147129074417,0.388431309663698,-0.00352,-0.329419693533545
0.00354,0.329796999626836,0.390638305741332,-0.00354,-0.330090782175473
