GBE subset- total dv/dt, CSL3 dv/dt, GBE- total dv/dt, CSL3 dv/dt, non-GBE- total dv/dt, CSL3 dv/dt
0.0142266893383436,0.0108883834797346,0.0380640318322492,0.0330491195154536,0.0310672270174308,0.0246916593609683
0.0142249767296896,0.0108873671801355,0.0380617080642622,0.0330454925673251,0.0310644792343879,0.0246893817402594
0.0142232634725303,0.0108863502828278,0.0380593860784018,0.0330418737631675,0.0310617350366442,0.0246871002099525
0.0142215495782061,0.0108853327984448,0.0380570657993786,0.0330382630704378,0.0310589944134279,0.0246848147542309
0.0142198350578084,0.0108843147374493,0.038054779967311,0.0330346932710768,0.0310562573528017,0.0246825253571146
0.0142181199225604,0.0108832961103325,0.0380525338950122,0.0330311697691172,0.0310535238426155,0.0246802320024813
0.0142164041834256,0.010882276927493,0.0380502886071525,0.0330276536868723,0.03105079386971,0.0246779346739388
0.014214687851382,0.010881257199248,0.0380480440503419,0.0330241450085538,0.0310480674206133,0.0246756333551801
0.0142129709372725,0.0108802369359005,0.0380458001692432,0.0330206437167817,0.031045344481285,0.024673328029877
0.0142112534517373,0.0108792161475897,0.038043556909571,0.0330171497947305,0.0310426250367613,0.0246710186811754
0.0142095354055947,0.0108781948445724,0.0380413142149507,0.0330136632234002,0.0310399090716231,0.0246687052925481
0.0142078168092752,0.0108771730368318,0.0380390720303012,0.0330101839846009,0.0310371965701393,0.0246663878471409
0.0142060976733163,0.0108761507344717,0.0380368302992622,0.0330067120588495,0.031034487515484,0.0246640663280147
0.0142043780081025,0.0108751279474397,0.0380345889655018,0.0330032474261657,0.0310317818906469,0.024661740718166
0.0142026578239154,0.0108741046856409,0.0380324148974296,0.0329998569912107,0.031029079677964,0.0246594110005702
0.0142009371309939,0.0108730809589339,0.0380302453121288,0.0329964780361109,0.0310263808590605,0.0246570771579471
0.0141992159394135,0.0108720567771137,0.0380280757496649,0.0329931061372548,0.0310236854148229,0.0246547391729237
0.0141974942592533,0.0108710321499679,0.0380259061598878,0.0329897412786977,0.0310209933263508,0.0246523970283974
0.0141957721004395,0.010870007087096,0.0380237364916951,0.0329863834428608,0.031018304573081,0.0246500507065974
0.0141940494728665,0.0108689815981968,0.0380215666939421,0.0329830326122504,0.0310156191348341,0.0246477001901795
0.0141923263862935,0.0108679556928131,0.0380193967163081,0.0329796887690463,0.0310129369902228,0.0246453454613729
0.0141906028503982,0.0108669293804837,0.0380172265068524,0.0329763518943054,0.0310102581175755,0.0246429865025775
