GBE EBSD data- Phi, Cumulative Frequency, phi1, Cumulative Frequency, phi2, Cumulative Frequency, GBE distribution data- Phi, Cumulative Frequency, phi1, Cumulative Frequency, phi2, Cumulative Frequency, non-GBE EBSD data- Phi, Cumulative Frequency, phi1, Cumulative Frequency, phi2, Cumulative Frequency, non-GBE distribution data- Phi, Cumulative Frequency, phi1, Cumulative Frequency, phi2, Cumulative Frequency,GBE subset EBSD data- Phi, Cumulative Frequency, phi1, Cumulative Frequency, phi2, Cumulative Frequency, GBE subset distribution data- Phi, Cumulative Frequency, phi1, Cumulative Frequency, phi2, Cumulative Frequency
0.797994,0.916851441241685,5.20071,0.821507760532151,5.21489,0.995565410199557,5.21323,0.998533333333333,5.21572,0.839733333333333,5.20825,0.994866666666667,0.801162,0.911602209944751,5.21489,0.799723756906077,5.21425,0.994475138121547,5.21406,0.9958,5.21572,0.8384,5.21406,0.994066666666667,0.780934,0.853383458646617,5.21361,0.879699248120301,5.21406,0.996240601503759,5.2041,0.9994,5.21572,0.8462,5.21489,0.996533333333333
0.7988958,0.919068736141907,5.206947,0.821507760532151,5.221173,0.995565410199557,5.219511,0.998533333333333,5.222004,0.8402,5.214525,0.994866666666667,0.8021034,0.911602209944751,5.221173,0.799723756906077,5.220525,0.994475138121547,5.220342,0.9958,5.222004,0.838933333333333,5.220342,0.994066666666667,0.7817138,0.857142857142857,5.219877,0.883458646616541,5.220342,0.996240601503759,5.21037,0.9994,5.222004,0.847333333333333,5.221173,0.996533333333333
0.7997976,0.919068736141907,5.213184,0.821507760532151,5.227456,0.995565410199557,5.225792,0.998533333333333,5.228288,0.840933333333333,5.2208,0.994866666666667,0.8030448,0.911602209944751,5.227456,0.799723756906077,5.2268,0.994475138121547,5.226624,0.9958,5.228288,0.839933333333333,5.226624,0.994066666666667,0.7824936,0.857142857142857,5.226144,0.887218045112782,5.226624,0.996240601503759,5.21664,0.9994,5.228288,0.848466666666667,5.227456,0.996533333333333
0.8006994,0.920177383592018,5.219421,0.822616407982262,5.233739,0.995565410199557,5.232073,0.998533333333333,5.234572,0.841533333333333,5.227075,0.994866666666667,0.8039862,0.915745856353591,5.233739,0.799723756906077,5.233075,0.994475138121547,5.232906,0.9958,5.234572,0.840666666666667,5.232906,0.994066666666667,0.7832734,0.857142857142857,5.232411,0.890977443609023,5.232906,0.996240601503759,5.22291,0.9994,5.234572,0.849533333333333,5.233739,0.996533333333333
0.8016012,0.921286031042129,5.225658,0.822616407982262,5.240022,0.995565410199557,5.238354,0.998533333333333,5.240856,0.842466666666667,5.23335,0.994866666666667,0.8049276,0.915745856353591,5.240022,0.799723756906077,5.23935,0.994475138121547,5.239188,0.9958,5.240856,0.841733333333333,5.239188,0.994066666666667,0.7840532,0.857142857142857,5.238678,0.890977443609023,5.239188,0.996240601503759,5.22918,0.9994,5.240856,0.850133333333333,5.240022,0.996533333333333
0.802503,0.924611973392461,5.231895,0.822616407982262,5.246305,0.995565410199557,5.244635,0.998533333333333,5.24714,0.843333333333333,5.239625,0.994866666666667,0.805869,0.918508287292818,5.246305,0.799723756906077,5.245625,0.994475138121547,5.24547,0.9958,5.24714,0.842466666666667,5.24547,0.994066666666667,0.784833,0.857142857142857,5.244945,0.890977443609023,5.24547,0.996240601503759,5.23545,0.9994,5.24714,0.851266666666667,5.246305,0.996533333333333
0.8034048,0.924611973392461,5.238132,0.828159645232816,5.252588,0.995565410199557,5.250916,0.998533333333333,5.253424,0.844133333333333,5.2459,0.994866666666667,0.8068104,0.918508287292818,5.252588,0.799723756906077,5.2519,0.994475138121547,5.251752,0.9958,5.253424,0.843533333333333,5.251752,0.994066666666667,0.7856128,0.857142857142857,5.251212,0.890977443609023,5.251752,0.996240601503759,5.24172,0.9994,5.253424,0.8522,5.252588,0.996533333333333
0.8043066,0.925720620842572,5.244369,0.830376940133038,5.258871,0.995565410199557,5.257197,0.998533333333333,5.259708,0.845333333333333,5.252175,0.994866666666667,0.8077518,0.922651933701657,5.258871,0.799723756906077,5.258175,0.994475138121547,5.258034,0.9958,5.259708,0.845133333333333,5.258034,0.994066666666667,0.7863926,0.857142857142857,5.257479,0.890977443609023,5.258034,0.996240601503759,5.24799,0.9994,5.259708,0.8528,5.258871,0.996533333333333
0.8052084,0.925720620842572,5.250606,0.832594235033259,5.265154,0.995565410199557,5.263478,0.998533333333333,5.265992,0.846466666666667,5.25845,0.994866666666667,0.8086932,0.925414364640884,5.265154,0.801104972375691,5.26445,0.994475138121547,5.264316,0.9958,5.265992,0.846266666666667,5.264316,0.994066666666667,0.7871724,0.857142857142857,5.263746,0.898496240601504,5.264316,0.996240601503759,5.25426,0.9994,5.265992,0.853666666666667,5.265154,0.996533333333333
0.8061102,0.925720620842572,5.256843,0.834811529933481,5.271437,0.995565410199557,5.269759,0.998533333333333,5.272276,0.847466666666667,5.264725,0.994866666666667,0.8096346,0.925414364640884,5.271437,0.801104972375691,5.270725,0.994475138121547,5.270598,0.9958,5.272276,0.847733333333333,5.270598,0.994066666666667,0.7879522,0.857142857142857,5.270013,0.898496240601504,5.270598,0.996240601503759,5.26053,0.9994,5.272276,0.854533333333333,5.271437,0.996533333333333
