Strain (F12), GBE stress (P12), non-GBE stress (P12), GBE subset stress (P12), Strain (F11), GBE stress (P11), non-GBE stress (P11), GBE subset stress (P11)
0.00204,0.213407208866873,0.20893684748561,0.217757112616779,0.000169949300665339,5.10008701937181e-16,2.41126563160776e-16,-5.77662917500277e-16
0.00206,0.215499436404783,0.210985247951155,0.219891986269886,0.000171615470279705,9.82720849140861e-16,-1.15359111152458e-16,7.99707522425308e-16
0.00208,0.217591663942694,0.213033648416699,0.222026859922991,0.000173281639894071,8.23126289350995e-16,3.21791204793698e-16,1.14665221762067e-15
0.0021,0.219683891480603,0.215082048882244,0.224161733576097,0.000174947809508437,-5.87203896618149e-16,-5.10008701937181e-16,-9.10729824887824e-16
0.00212,0.221776119018515,0.217130449347791,0.226296607229202,0.000176613979122803,-7.48533179883992e-16,-9.19403442267708e-17,-5.42968447980741e-16
0.00214,0.223868346556425,0.219178849813335,0.228431480882309,0.000178280148737169,-9.15933995315754e-16,1.23512311489549e-15,3.6949610038306e-16
0.00216,0.225960574094335,0.22122725027888,0.230566354535413,0.000179946318351535,-4.68375338513738e-17,4.0766001685455e-16,7.73686670285656e-16
0.00218,0.228052801632245,0.223275650744425,0.23270122818852,0.000181612487965902,4.33680868994202e-16,1.29063426612674e-15,-3.71230823859037e-16
0.0022,0.230145029170158,0.225324051209972,0.234836101841625,0.000183278657580267,2.42861286636753e-16,4.63171168085807e-16,2.60208521396521e-17
0.00222,0.232237256708068,0.227372451675517,0.236970975494731,0.000184944827194633,6.93889390390723e-17,8.76035355368288e-16,4.04190569902596e-16
0.00224,0.234329484245977,0.229420852141062,0.239105849147836,0.000186610996809,9.71445146547012e-16,3.81639164714898e-17,-1.14144804719274e-15
0.00226,0.236421711783888,0.231469252606605,0.241240492342351,0.000188277166423365,7.70217223333702e-16,-7.65013052905772e-16,-7.19910242530375e-16
0.00228,0.238513869832981,0.233517627015914,0.24337299004022,0.000189943336037732,-1.03389519168218e-15,1.23165366794353e-16,5.3776427755281e-16
0.0023,0.240605472642338,0.235565886308902,0.245503245539868,0.000191609505652098,-1.87350135405495e-16,-7.12971348626468e-16,9.24607612695638e-16
0.00232,0.242696301222672,0.23761354391405,0.24763126119329,0.000193275675266464,-3.20923843055709e-16,1.86656246015104e-15,-1.11889664200504e-15
0.00234,0.244786355857844,0.239659946868482,0.249757039350019,0.00019494184488083,-4.78783679369599e-16,1.05644659686988e-15,-7.45931094670027e-16
0.00236,0.246875636831609,0.241705095935915,0.25188058235714,0.000196608014495196,3.62557206479153e-16,2.02962646689286e-16,1.89084858881472e-16
0.00238,0.248964127476029,0.243748991879612,0.254001892559289,0.000198274184109562,1.96023752785379e-16,6.38378239159465e-16,5.86336534880161e-16
0.0024,0.251051803946189,0.245791635462377,0.256120844630577,0.000199940353723928,6.48786580015326e-16,2.4980018054066e-16,-5.22151766269019e-16
0.00242,0.253138666556055,0.247831630395299,0.258236361636621,0.000201606523338294,5.29090660172926e-16,6.80011602582908e-16,-1.90819582357449e-16
0.00244,0.255224448019763,0.249868231927642,0.260348449159587,0.00020327269295266,-9.22872889219661e-16,-1.23165366794353e-16,1.80411241501588e-16
0.00246,0.257308794512086,0.251901366371341,0.262457112772523,0.000204938862567026,-1.04430353253804e-15,-9.47159017883337e-16,5.60315682740509e-16
0.00248,0.259390683260954,0.253930009915335,0.264562358039363,0.000206605032181393,-1.19348975147204e-15,1.62890534394222e-15,-9.4542429440736e-16
0.0025,0.261469697118142,0.255953452667198,0.266664190514965,0.000208271201795758,2.51534904016637e-16,1.22991894446756e-15,3.92047505570758e-16
0.00252,0.26354570920808,0.257971675909963,0.268762615745098,0.000209937371410125,1.196959198424e-16,1.67747760126957e-15,7.4419637119405e-16
0.00254,0.2656186262622,0.259983967191775,0.270857639266474,0.000211603541024491,-5.55111512312578e-17,8.36136715420821e-16,1.18481613409216e-15
0.00256,0.267688152508785,0.261988926518349,0.272949266606763,0.000213269710638857,-2.27248775352962e-16,-6.93889390390723e-18,-9.47159017883337e-16
0.00258,0.269754293503633,0.263985197525635,0.2750375032846,0.000214935880253223,6.67868538251071e-16,4.28476698566271e-16,-5.49907341884648e-16
0.0026,0.271817024094082,0.265971724908157,0.277122354809605,0.000216602049867589,4.90926743701436e-16,-3.88578058618805e-16,3.71230823859037e-16
0.00262,0.273876337555997,0.267946201084102,0.279203826682401,0.000218268219481955,9.40220123979429e-16,5.04804531509251e-16,1.70002900645727e-15
0.00264,0.27593181781716,0.269906533846834,0.281281924394617,0.000219934389096321,-4.73579508941668e-16,-3.27862736959617e-16,-3.36536354339501e-16
0.00266,0.277983160330409,0.271852071715602,0.283356132188235,0.000221600558710687,-5.98479599211998e-16,9.95731275210687e-16,-8.67361737988404e-18
0.00268,0.280028929033208,0.27378169093137,0.285425891672208,0.000223266728325053,-7.52869988573934e-16,1.42420797377696e-15,4.14598910758457e-16
0.0027,0.282068438263115,0.275694382467073,0.287491212385161,0.000224932897939419,-9.33281230075522e-16,6.17561557447743e-16,-1.64798730217797e-15
0.00272,0.28410086073724,0.277589897778369,0.289552103845272,0.000226599067553785,-5.3776427755281e-17,-2.30718222304915e-16,-7.56339435525888e-16
0.00274,0.286125201044442,0.279467367438082,0.29160411235275,0.000228265237168151,4.02455846426619e-16,6.5746019739521e-16,6.05418493115906e-16
0.00276,0.288140233204724,0.281325641365726,0.293645226128271,0.000229931406782517,2.25514051876985e-16,-1.85615411929518e-16,9.57567358739198e-16
0.00278,0.290144811285694,0.283164343700041,0.295675502910182,0.000231597576396883,1.08767161943746e-15,2.58473797920544e-16,-1.13450915328883e-15
0.0028,0.292137592926631,0.284979729353768,0.297691946151157,0.000233263746011249,9.22872889219661e-16,-5.79397640976254e-16,-7.35522753814166e-16
0.00282,0.294118069082994,0.286770434277687,0.29969416605832,0.000234929915625615,-1.52135248843166e-15,7.52869988573934e-16,2.09901540593194e-16
0.00284,0.296085038097351,0.288533257606369,0.301681362932843,0.000236596085239981,-3.81639164714898e-17,1.64104840827406e-15,1.50747470062385e-15
0.00286,0.298036248036445,0.290265090980065,0.303651792948723,0.000238262254854348,-1.90819582357449e-16,8.23993651088983e-16,-5.759281940243e-16
0.00288,0.299968519844118,0.291965612213086,0.305603974989412,0.000239928424468713,-3.7470027081099e-16,1.22471477403963e-15,-1.82145964977565e-16
0.0029,0.301878688934861,0.293634783839795,0.307537022936603,0.00024159459408308,-5.06539254985228e-16,4.16333634234434e-16,2.13370987545147e-16
0.00292,0.303763508596868,0.295272414147218,0.309446315742615,0.000243260763697446,3.3133218391157e-16,-4.23272528138341e-16,5.7072402359637e-16
0.00294,0.305621064168653,0.296878170160418,0.31133166730235,0.000244926933311812,1.90819582357449e-16,6.93889390390723e-18,-9.38485400503453e-16
0.00296,0.307447515529635,0.298451113304834,0.313190988341725,0.000246593102926178,6.45317133063372e-16,-3.79904441238921e-16,3.66026653431106e-16
0.00298,0.30924184829598,0.299989795642375,0.315018534290295,0.000248259272540544,1.5334955527635e-15,5.72458747072346e-17,7.56339435525888e-16
0.003,0.311003465844276,0.30149462759263,0.316808767275348,0.00024992544215491,-9.43689570931383e-16,1.37910516340156e-15,1.18134668714021e-15
0.00302,0.312730415544094,0.30296562879128,0.318555585022122,0.000251591611769276,-1.13103970633688e-15,5.39499001028787e-16,-9.28077059647592e-16
0.00304,0.314419462044006,0.304402728179693,0.320256914562071,0.000253257781383642,-1.2264494975156e-15,9.55832635263221e-16,-5.25621213220973e-16
0.00306,0.316067946911332,0.305805333764622,0.321912000050778,0.000254923950998009,2.72351585728359e-16,6.05418493115906e-16,1.37910516340156e-15
0.00308,0.317673334553991,0.307173298305402,0.323520096990742,0.000256590120612374,8.50014503228635e-17,1.02522157430229e-15,-7.21644966006352e-16
0.0031,0.319233634591823,0.308505790468599,0.325082167115133,0.00025825629022674,-7.80625564189563e-17,2.08166817117217e-16,-3.79904441238921e-16
0.00312,0.320748415120743,0.309801460890712,0.326599401122907,0.000259922459841107,8.08381139805192e-16,-6.52256026967279e-16,2.42861286636753e-17
0.00314,0.322216568266973,0.31105947400508,0.328071394940207,0.000261588629455473,6.64399091299117e-16,-2.28983498828939e-16,4.26741975090295e-16
0.00316,0.323637667326067,0.312279567814401,0.329498591546304,0.000263254799069839,4.71844785465692e-16,-1.03736463863413e-15,-1.19522447494802e-15
0.00318,0.325011135855803,0.313461110313637,0.330881545472082,0.000264920968684205,-1.3686968225457e-15,2.03136119036884e-15,2.51534904016637e-16
0.0032,0.326337311236558,0.314604011027144,0.332218938722131,0.000266587138298571,-4.63171168085807e-16,1.20736753927986e-15,5.46437894932694e-16
0.00322,0.327617444214733,0.315708332706484,0.333511636477189,0.000268253307912937,-6.27969898303604e-16,4.04190569902596e-16,9.55832635263221e-16
0.00324,0.328851919428158,0.316772509328082,0.334758949486611,0.000269919477527303,-7.78890840713586e-16,7.63278329429795e-16,-1.05991604382183e-15
0.00326,0.330041201070437,0.317797090098867,0.335962253051629,0.000271585647141669,3.46944695195361e-17,-5.03069808033274e-17,-8.23993651088983e-16
0.00328,0.331186160726847,0.318782362214068,0.337123099921911,0.000273251816756035,5.18682319317065e-16,8.23993651088983e-16,1.15012166457262e-15
0.0033,0.332288192967906,0.319729421694329,0.338242988067801,0.000274917986370401,3.50414142147315e-16,-3.46944695195361e-18,1.54737334057131e-15
0.00332,0.333348320421124,0.320639478234757,0.339323362612477,0.000276584155984767,1.19348975147204e-15,-8.11850586757146e-16,-5.51642065360625e-16
0.00334,0.334367711035534,0.321512114073078,0.340365617695982,0.000278250325599133,1.09461051334137e-15,1.79370407416002e-15,-1.76941794549634e-16
0.00336,0.335347364056805,0.32234741031498,0.341370607799591,0.000279916495213499,-1.39645239816133e-15,9.26342336171615e-16,1.85615411929518e-16
0.00338,0.336288652566892,0.323146203692973,0.342339080690487,0.000281582664827866,-1.51961776495568e-15,1.34267597040605e-15,-1.87870552448288e-15
0.0034,0.337192933753188,0.323910078588415,0.343272363223019,0.000283248834442232,-8.67361737988404e-18,9.87057657830803e-16,3.29597460435593e-17
0.00342,0.338061628480301,0.324640148784909,0.34417173404368,0.000284915004056598,-2.02962646689286e-16,1.50920942409982e-16,2.96637714392034e-16
0.00344,0.338895826258255,0.325337714086041,0.345038425342319,0.000286581173670964,-3.64291929955129e-16,6.10622663543836e-16,8.01442245901285e-16
0.00346,0.339696560903115,0.326003988641035,0.345873624539772,0.00028824734328533,-5.08273978461204e-16,-2.60208521396521e-16,-1.3166551182664e-15
0.00348,0.340465013504335,0.326639715593049,0.346678356236543,0.000289913512899696,3.29597460435593e-16,-1.03389519168218e-15,-8.86443696224148e-16
0.0035,0.341201971710655,0.32724593388448,0.347453380335089,0.000291579682514062,7.89299181569447e-16,1.97758476261356e-15,3.95516952522712e-16
0.00352,0.341908471709185,0.327823703435217,0.348199213083752,0.000293245852128428,6.22765727875674e-16,1.13624387676481e-15,1.33400235302616e-15
0.00354,0.342585610062182,0.328374323355892,0.348916654451286,0.000294912021742794,-7.75421393761633e-16,1.58033308661487e-15,-7.09501901674514e-16
0.00356,0.34323420036021,0.328898947612494,0.349606234284411,0.00029657819135716,-9.55832635263221e-16,7.21644966006352e-16,-3.33066907387547e-16
0.00358,0.343855164003474,0.329398803474347,0.350268936335701,0.000298244360971526,-1.09634523681734e-15,-5.3776427755281e-17,-5.20417042793042e-18
0.0036,0.344448917733504,0.329875005405295,0.350905808213578,0.000299910530585892,-2.08166817117217e-16,3.40005801291454e-16,3.33066907387547e-16
0.00362,0.34501638328988,0.3303286013082,0.351517494554998,0.000301576700200258,2.48065457064683e-16,-2.42861286636753e-17,-7.16440795578421e-16
0.00364,0.345558723527707,0.33076060210461,0.352104820418885,0.000303242869814625,9.71445146547012e-17,3.76434994286967e-16,1.92554305833426e-16
0.00366,0.346076925300783,0.331171989194554,0.35266875596478,0.00030490903942899,-9.8879238130678e-17,-4.23272528138341e-16,6.21031004399697e-16
0.00368,0.346571969478267,0.331563742280426,0.353210232716261,0.000306575209043356,7.63278329429795e-16,8.82974249272195e-16,9.5062846483529e-16
0.0037,0.347044811232903,0.331936798069254,0.3537301450995,0.000308241378657723,6.21031004399697e-16,1.32012456521835e-15,-1.09287578986539e-15
0.00372,0.347496314952176,0.332292048928145,0.354229351920562,0.000309907548272089,1.09114106638941e-15,9.8358821087885e-16,2.39391839684799e-16
0.00374,0.347927322181135,0.332630343975796,0.35470867778387,0.000311573717886455,-3.33066907387547e-16,1.38257461035352e-15,1.13450915328883e-15
