GBE Subset- phi0 (GPa), Cumulative Freq.,non-GBE- phi0 (GPa), Cumulative Freq., GBE- phi0 (GPa), Cumulative Freq.
0.556232,0.423976608187135,0.558208,0.440865626572723,0.56,0.430064308681672
0.558715,0.423976608187135,0.56071,0.441872169099144,0.5625,0.430064308681672
0.561198,0.423976608187135,0.563212,0.441872169099144,0.565,0.430064308681672
0.563681,0.423976608187135,0.565714,0.442878711625566,0.5675,0.432475884244373
0.566164,0.423976608187135,0.568216,0.443885254151988,0.57,0.432475884244373
0.568647,0.423976608187135,0.570718,0.44489179667841,0.5725,0.433279742765273
0.57113,0.423976608187135,0.57322,0.445395067941621,0.575,0.434083601286174
0.573613,0.423976608187135,0.575722,0.445898339204831,0.5775,0.435289389067524
0.576096,0.423976608187135,0.578224,0.446904881731253,0.58,0.435691318327974
0.578579,0.423976608187135,0.580726,0.447408152994464,0.5825,0.438102893890675
0.581062,0.423976608187135,0.583228,0.448414695520886,0.585,0.438906752411576
0.583545,0.423976608187135,0.58573,0.449421238047307,0.5875,0.439710610932476
0.586028,0.425438596491228,0.588232,0.449924509310518,0.59,0.440916398713826
0.588511,0.425438596491228,0.590734,0.449924509310518,0.5925,0.441720257234727
0.590994,0.425438596491228,0.593236,0.45093105183694,0.595,0.442122186495177
0.593477,0.426900584795322,0.595738,0.451937594363362,0.5975,0.442524115755627
0.59596,0.432748538011696,0.59824,0.452944136889784,0.6,0.443729903536977
0.598443,0.435672514619883,0.600742,0.453950679416205,0.6025,0.445337620578778
0.600926,0.435672514619883,0.603244,0.453950679416205,0.605,0.446945337620579
0.603409,0.437134502923977,0.605746,0.453950679416205,0.6075,0.447347266881029
0.605892,0.43859649122807,0.608248,0.454957221942627,0.61,0.448553054662379
0.608375,0.43859649122807,0.61075,0.454957221942627,0.6125,0.45056270096463
0.610858,0.440058479532164,0.613252,0.455460493205838,0.615,0.451366559485531
0.613341,0.442982456140351,0.615754,0.455963764469049,0.6175,0.451768488745981
0.615824,0.442982456140351,0.618256,0.455963764469049,0.62,0.451768488745981
0.618307,0.442982456140351,0.620758,0.457473578258681,0.6225,0.452170418006431
0.62079,0.444444444444444,0.62326,0.458480120785103,0.625,0.452974276527331
0.623273,0.445906432748538,0.625762,0.460996477101158,0.6275,0.454180064308682
0.625756,0.448830409356725,0.628264,0.461499748364368,0.63,0.454581993569132
0.628239,0.450292397660819,0.630766,0.462003019627579,0.6325,0.455385852090032
0.630722,0.450292397660819,0.633268,0.462003019627579,0.635,0.456591639871383
0.633205,0.450292397660819,0.63577,0.463009562154001,0.6375,0.458601286173633
0.635688,0.450292397660819,0.638272,0.463512833417212,0.64,0.459003215434084
0.638171,0.450292397660819,0.640774,0.463512833417212,0.6425,0.459405144694534
0.640654,0.456140350877193,0.643276,0.464016104680423,0.645,0.460209003215434
0.643137,0.457602339181287,0.645778,0.464016104680423,0.6475,0.460610932475884
0.64562,0.457602339181287,0.64828,0.464519375943634,0.65,0.467443729903537
0.648103,0.457602339181287,0.650782,0.475088072471062,0.6525,0.477893890675241
0.650586,0.464912280701754,0.653284,0.482637141419225,0.655,0.481511254019293
0.653069,0.470760233918129,0.655786,0.489179667840966,0.6575,0.487942122186495
